p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.88875	0.420605	0.66647
0.0783333	0.762281	4.14152	0.664172
0.126667	0.129189	32.0532	0.089975
0.175	0.0622481	7.79023	0.00851715
0.223333	0.0444202	3.89532	0.023449
0.271667	0.0358404	2.68509	0.00838975
0.0801235	0.752315	4.88357	0.663656
0.0317901	0.885713	0.449598	0.666455
0.128457	0.120916	27.7248	0.100445
0.17679	0.0607248	7.50777	0.0264696
0.225123	0.0442477	3.9751	0.0474301
0.273457	0.035941	2.54474	0.0243292
0.0335802	0.882555	0.462989	0.666447
0.0819136	0.742723	6.10679	0.662925
0.17858	0.0596411	7.18346	0.0224064
0.130247	0.11527	24.4838	0.0983945
0.226914	0.0427416	3.77215	0.0187443
0.275247	0.0354728	2.58642	0.018471
0.0353704	0.879768	0.459742	0.666448
0.0837037	0.731821	6.90154	0.662276
0.18037	0.0577418	6.79565	0.0231383
0.132037	0.110823	24.9706	0.0366009
0.228704	0.0425407	3.85581	-0.0100385
0.277037	0.0347258	2.40153	0.0296494
0.0371605	0.876665	0.483514	0.666435
0.0854938	0.719291	9.27401	0.660732
0.18216	0.0578259	6.74859	0.0424952
0.133827	0.107055	22.1995	0.0610525
0.278827	0.0354119	2.51941	0.0293708
0.230494	0.042602	3.63938	0.0254074
0.0389506	0.873522	0.522383	0.666414
0.087284	0.699983	18.0037	0.656536
0.183951	0.0562898	6.39439	0.021663
0.135617	0.103069	20.6029	0.0705874
0.280617	0.0349306	2.56154	-0.0180458
0.232284	0.0422338	3.6022	0.00240184
0.0407407	0.869695	0.583359	0.666383
0.0890741	0.68476	17.0199	0.65563
0.185741	0.0558583	6.46654	0.0227806
0.137407	0.0977912	19.5687	0.0287159
0.282407	0.0344421	2.37855	0.0176022
0.234074	0.0429451	3.66829	0.0227167
0.0425309	0.866702	0.587114	0.666379
0.0908642	0.66962	19.4049	0.653461
0.187531	0.0548751	5.90621	0.0576289
0.139198	0.0969957	18.5281	0.0566986
0.284198	0.0331042	2.36207	-0.0388517
0.235864	0.0417414	3.55459	0.00862887
0.044321	0.86305	0.639436	0.666351
0.0926543	0.625405	56.2106	0.635706
0.189321	0.054947	6.08587	0.0244188
0.140988	0.0931114	17.562	0.0215536
0.285988	0.0343838	2.45673	-0.00594163
0.237654	0.0415131	3.50394	0.00278105
0.0461111	0.859678	0.702775	0.666317
0.0944444	0.601278	56.2025	0.629379
0.142778	0.0903137	17.3561	-0.0513194
0.191111	0.0541234	5.94403	0.0222751
0.287778	0.0336734	2.2778	0.0036587
0.239444	0.0418124	3.53958	0.0102302
0.0479012	0.855669	0.726906	0.666302
0.0962346	0.53692	108.241	0.591766
0.144568	0.0874244	16.0409	-0.0021085
0.192901	0.0528323	5.96069	-0.039918
0.289568	0.0336711	2.36681	-0.00704633
0.241235	0.0404748	3.30272	0.0244286
0.0496914	0.851908	0.804696	0.66626
0.0980247	0.505199	108.284	0.579265
0.146358	0.0864729	15.0098	0.0327837
0.194691	0.0521051	5.55977	-0.00661677
0.291358	0.0336533	2.30507	-0.00426676
0.243025	0.0400148	3.37332	-0.00818435
0.0514815	0.848105	0.835679	0.66624
0.0998148	0.478954	106.758	0.566673
0.148148	0.0841982	14.2621	0.054503
0.196481	0.0524123	5.76524	-0.0344188
0.293148	0.0327236	2.26477	-0.0261282
0.244815	0.0399869	3.39806	-0.0146945
0.0532716	0.843521	0.913364	0.666196
0.101605	0.42156	123.649	0.517548
0.149938	0.0824423	13.9649	0.0156032
0.198272	0.0508648	5.31664	-0.0171921
0.294938	0.0321934	2.17752	-0.00352602
0.0550617	0.83959	0.967753	0.666164
0.246605	0.0401041	3.18505	0.0517783
0.103395	0.376727	118.852	0.477664
0.151728	0.0786258	12.3876	0.0346492
0.200062	0.0497847	5.24844	-0.0376814
0.296728	0.0329356	2.20478	-0.0217902
0.0568519	0.835375	1.04602	0.666118
0.248395	0.0390898	3.15035	0.0103817
0.105185	0.315904	117.238	0.394144
0.153519	0.0791039	12.1166	0.0449122
0.201852	0.0505914	5.33032	-0.00400416
0.058642	0.830833	1.22054	0.666024
0.298519	0.032156	2.15489	-0.000866747
0.250185	0.0396378	3.1659	0.0534899
0.106975	0.289306	103.698	0.365734
0.155309	0.0761319	11.6052	0.051426
0.203642	0.0500007	5.0537	0.0107984
0.0604321	0.826724	1.24539	0.666002
0.300309	0.0325384	2.13121	0.0282049
0.251975	0.0387319	3.08212	-0.0164132
0.108765	0.264951	100.036	0.322498
0.157099	0.0733798	10.684	0.00928831
0.205432	0.0490148	4.91185	-0.00622606
0.0622222	0.821104	1.45975	0.665884
0.302099	0.0326406	2.18137	-0.00107061
0.253765	0.0382808	3.00226	-0.00221815
0.110556	0.224631	83.7565	0.245013
0.158889	0.0733423	11.0014	0.0126516
0.207222	0.0486222	4.81161	0.026931
0.0640123	0.815799	1.44899	0.665872
0.303889	0.0323044	2.10477	0.0274373
0.112346	0.215299	73.4098	0.247848
0.255556	0.0385766	2.99258	0.0479461
0.160679	0.0710747	10.5278	0.00159536
0.209012	0.047913	4.65178	0.0226226
0.0658025	0.810969	1.59479	0.665781
0.305679	0.0315646	2.00904	0.0303
0.114136	0.193075	62.3874	0.204382
0.257346	0.0374933	2.85349	0.0148742
0.162469	0.0683033	9.68404	-0.00941188
