p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.919753	0.230718	0.666265
0.114	0.624613	23.2621	0.615316
0.198	0.117559	6.73048	0.0567945
0.282	0.0728769	2.73126	-0.0126263
0.366	0.0557689	1.59879	0.00028453
0.032625	0.91566	0.242947	0.666241
0.116625	0.585584	28.1801	0.597729
0.200625	0.113608	6.32577	0.0509369
0.284625	0.0730213	2.66887	0.0381381
0.368625	0.0558409	1.57568	0.0107675
0.03525	0.911725	0.267127	0.666194
0.11925	0.553409	30.5486	0.581804
0.20325	0.112861	6.27875	0.0634596
0.28725	0.0717218	2.53044	0.045082
0.37125	0.0551493	1.58438	-0.00446818
0.037875	0.908332	0.281553	0.666166
0.121875	0.50925	35.8028	0.551378
0.205875	0.11026	6.0694	0.0429175
0.289875	0.0707618	2.45862	0.0301858
0.373875	0.0555164	1.54728	0.0275942
0.0405	0.904194	0.308188	0.666113
0.1245	0.476137	35.073	0.532183
0.2085	0.1089	5.7016	0.0593866
0.2925	0.0694071	2.44073	0.0423318
0.3765	0.0554107	1.54189	0.0389845
0.043125	0.899944	0.317602	0.666091
0.127125	0.451455	35.7925	0.513935
0.211125	0.105291	5.68766	0.0328425
0.295125	0.0687249	2.3836	0.0164471
0.379125	0.0554369	1.57402	0.0319584
0.04575	0.896298	0.355295	0.66602
0.12975	0.409622	36.693	0.471958
0.21375	0.102861	5.256	0.0376159
0.29775	0.0681191	2.33236	0.0201394
0.048375	0.891567	0.374133	0.665978
0.38175	0.0537044	1.50314	-0.0204649
0.132375	0.367153	34.7752	0.431213
0.216375	0.101904	5.0549	0.0608814
0.051	0.88771	0.386586	0.665949
0.300375	0.0685156	2.40733	0.000507403
0.384375	0.0544769	1.43563	0.0475859
0.135	0.342459	34.3544	0.39541
0.219	0.101285	5.24971	0.00382687
0.053625	0.883384	0.440042	0.665845
0.303	0.0690973	2.39078	0.0581626
0.387	0.0554782	1.54726	0.0142196
0.137625	0.309179	31.9094	0.350875
0.05625	0.878356	0.51132	0.665705
0.221625	0.0984591	4.9698	0.0268304
0.305625	0.0672613	2.31041	0.0161143
0.389625	0.0539169	1.4343	0.05642
0.14025	0.286868	28.776	0.326226
0.058875	0.873641	0.505073	0.665703
0.22425	0.0974147	4.62201	0.0671111
0.30825	0.0673147	2.27795	0.0171506
0.39225	0.0532791	1.47478	0.00625369
0.142875	0.269384	26.9094	0.292246
0.0615	0.868419	0.572333	0.665564
0.226875	0.0956471	4.58152	0.0344105
0.310875	0.0644702	2.1	0.0159712
0.1455	0.251517	24.6929	0.264399
0.394875	0.051528	1.34217	0.0251628
0.064125	0.863905	0.643784	0.665434
0.2295	0.0938813	4.33982	0.040955
0.3135	0.0646582	2.17078	0.00764731
0.148125	0.238215	22.4208	0.24623
0.3975	0.0526187	1.42491	0.0154677
0.06675	0.857533	0.715358	0.665267
0.232125	0.0914947	4.18731	0.0393476
0.15075	0.22432	21.1187	0.211798
0.316125	0.0642449	2.18628	-0.003626
0.069375	0.851652	0.796433	0.665089
0.400125	0.0515947	1.36424	0.0165058
0.23475	0.0920436	4.19453	0.0405706
0.153375	0.215971	19.2319	0.215104
0.072	0.846184	0.869068	0.664934
0.31875	0.0644271	2.05973	0.0217788
0.40275	0.0523622	1.38696	-0.0216486
0.237375	0.0914031	4.16385	0.0212237
0.156	0.203303	17.8943	0.199856
0.074625	0.840397	0.908497	0.664821
0.321375	0.0642671	2.05574	0.0440076
0.405375	0.051336	1.33338	0.0200655
0.24	0.0880067	3.93669	0.0226118
0.07725	0.832428	1.09321	0.664431
0.158625	0.189561	15.9196	0.165066
0.324	0.0644591	2.1166	0.0221627
0.408	0.0508609	1.3572	-0.0249912
0.242625	0.0870431	3.96432	-0.0213879
0.079875	0.82554	1.37805	0.663915
0.16125	0.180779	14.6772	0.154022
0.326625	0.0635276	1.97245	0.0593229
0.410625	0.0499538	1.3082	-0.0161687
0.24525	0.0850022	3.7478	0.0208814
0.0825	0.819397	1.46068	0.663674
0.163875	0.178034	13.9988	0.154284
0.32925	0.0627764	1.97	0.0406304
0.41325	0.0509533	1.32527	-0.0132264
0.247875	0.0855587	3.7651	0.0121432
0.085125	0.811004	1.78176	0.66306
0.1665	0.167059	13.2883	0.0979172
0.331875	0.060836	1.89774	0.0212769
0.415875	0.0509298	1.34484	-0.00067631
0.2505	0.0837876	3.51867	0.0320939
