p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.948535	0.113497	0.666632
0.1025	0.855905	0.501117	0.666481
0.06625	0.906904	0.240462	0.666587
0.13875	0.776294	2.16745	0.665709
0.175	0.328822	156.451	0.433314
0.28375	0.0408112	4.71469	0.000318921
0.2475	0.0542097	8.15123	0.00958624
0.21125	0.0864997	19.8512	0.0587273
0.0318125	0.946538	0.116322	0.666631
0.104313	0.852763	0.540456	0.666465
0.0680625	0.904505	0.248315	0.666584
0.140563	0.770344	2.33252	0.665617
0.176813	0.289166	132.367	0.392109
0.285563	0.0409746	4.59913	0.0219846
0.249313	0.0532674	7.64432	0.0354183
0.213063	0.08124	17.9862	0.0366898
0.033625	0.944533	0.119652	0.66663
0.106125	0.849699	0.572582	0.666452
0.069875	0.902253	0.252045	0.666583
0.142375	0.764107	2.87567	0.665393
0.178625	0.268458	120.95	0.369461
0.287375	0.0405948	4.56666	0.0155935
0.214875	0.080592	17.5552	0.0395254
0.251125	0.0521993	7.62679	0.0142918
0.0354375	0.942524	0.125133	0.666628
0.107938	0.846553	0.592118	0.666443
0.0716875	0.900101	0.260158	0.666579
0.144188	0.756766	3.20001	0.665203
0.180438	0.228947	104.288	0.292566
0.289188	0.040081	4.34776	0.015456
0.216688	0.0786436	16.9275	0.0146652
0.252938	0.0517016	7.4849	0.0100943
0.03725	0.94067	0.131751	0.666626
0.10975	0.843458	0.651301	0.666419
0.0735	0.897592	0.274755	0.666574
0.146	0.749757	3.47184	0.66504
0.18225	0.207973	96.825	0.227004
0.291	0.0395519	4.25687	0.00583816
0.25475	0.0510634	7.65295	-0.0526965
0.2185	0.0751881	15.5279	0.027261
0.0390625	0.938674	0.135846	0.666625
0.111563	0.839825	0.672835	0.666408
0.0753125	0.895239	0.282947	0.666571
0.147813	0.742615	4.09378	0.664744
0.184063	0.186866	85.3202	0.17932
0.292813	0.0392942	4.31397	0.00528186
0.256563	0.0491953	6.74454	0.00964521
0.220313	0.0729765	14.8806	0.0260696
0.040875	0.936671	0.136645	0.666624
0.113375	0.836745	0.700853	0.666396
